,fecha,titulo,periodico,topico
94,23-Mar-1994,Suben tasas de interés en EU,reforma,7
95,24-Mar-1994,Adquiere Interacciones banco,reforma,5
96,24-Mar-1994,'Soy de la cultura del esfuerzo',reforma,4
97,25-Mar-1994,Se alejarán temporalmente del mercado los especuladores,reforma,4
98,25-Mar-1994,Niega PRI apurar decisiones,reforma,4
99,25-Mar-1994,La incertidumbre después de Colosio,reforma,4
100,25-Mar-1994,Condena la violencia medio cultural,reforma,4
101,25-Mar-1994,Carlos Elizondo Meyer-Serra / La muerte de Colosio,reforma,4
102,26-Mar-1994,Sobreaviso  / Después de Colosio,reforma,4
103,27-Mar-1994,Sirve la sátira de 'juicio popular',reforma,4
104,27-Mar-1994,El drama del juego,reforma,4
105,27-Mar-1994,Tabasco: incertidumbre y perspectiva,reforma,4
106,28-Mar-1994,Coordenadas / ¿Estamos frente al fin del sistema?,reforma,4
107,28-Mar-1994,Las crisis políticas están cobrando su precio en las acciones y la deuda,reforma,0
108,29-Mar-1994,Crece el desempleo en industria minera,reforma,9
109,29-Mar-1994,Persiste intranquilidad en mercados,reforma,2
110,30-Mar-1994,A Corto Plazo  / Interpretando al candidato,reforma,4
111,30-Mar-1994,Reciben bien a Zedillo analistas londinenses,reforma,4
112,30-Mar-1994,Tabla / Una semana de incertidumbre...,reforma,0
113,30-Mar-1994,Aprueba IP nominación de Zedillo,reforma,2
114,30-Mar-1994,What's News,reforma,4
115,30-Mar-1994,La crisis política mexicana cobrará su precio económico,reforma,1
116,31-Mar-1994,Cae Bolsa 1.92%; aumenta el dólar,reforma,2
117,31-Mar-1994,Suben 32% reservas en dólares,reforma,1
118,04-Abr-1994,Fricasé / Mérito,reforma,4
119,04-Abr-1994,Pronostican inflación en EU,reforma,7
120,04-Abr-1994,Viven los mercados ola de inestabilidad,reforma,2
121,05-Abr-1994,"Nombres, Nombres y... Nombre / Más de un factor en la caída de ayer; se rehacen portafolios; se prevé alza de tasas; habría emisoras afectadas por movi",reforma,8
122,05-Abr-1994,Coordenadas / Tres certezas en la política financiera,reforma,2
123,05-Abr-1994,Carlos Salazar Lomelín   / El camino de la modernidad ,reforma,5
124,05-Abr-1994,Impulsará  EU  a México a crecer ,reforma,1
125,06-Abr-1994,"Nombres, Nombres y... Nombres / Además de su alianza con Heinz, Herdez está por cerrar con Hormel, líder en cárnicos en EU, y con Knotts's Berry Farm",reforma,8
126,06-Abr-1994,Coordenadas / Por qué será bajo el crecimiento de 1994,reforma,4
127,06-Abr-1994,Crecería PIB 3.5% durante este año,reforma,1
128,07-Abr-1994,Suben Cetes para retener a los capitales,reforma,2
129,07-Abr-1994,Coordenadas / Enfrentando el temporal,reforma,4
130,07-Abr-1994,Al Alza y a la Baja / Un ambiente cargado de incertidumbre,reforma,8
131,07-Abr-1994,Advierte FMI de alza en tasas,reforma,7
132,09-Abr-1994,Aumento en tasas es tansitorio.- Aspe,reforma,4
133,10-Abr-1994,"Chiapas, la herencia y el diálogo",reforma,4
134,11-Abr-1994,Empresa / ¿Toca piso la crisis financiera?,reforma,8
135,11-Abr-1994,Jonathan Heath C. / El tipo de cambio ante la crisis política,reforma,2
136,11-Abr-1994,What's News,reforma,7
137,11-Abr-1994,La partida de Hosokawa promete más inestabilidad en el corto plazo,reforma,4
138,12-Abr-1994,Humberto Musacchio / Crisis política y solución colectiva,reforma,4
139,12-Abr-1994,Inicia la economía su recuperación,reforma,1
140,13-Abr-1994,Empresa / La banca pesca en el río revuelto,reforma,8
141,13-Abr-1994,Tendrá problemas la economía mexicana,reforma,1
142,13-Abr-1994,Recobra México inversiones pero la Bolsa no las captura,reforma,9
143,13-Abr-1994,Emitirán reglas de banca foránea,reforma,5
144,15-Abr-1994,Se encarecerá cartera vencida de industriales,reforma,5
145,16-Abr-1994,Rechazan acelerar la desgravación,reforma,9
146,18-Abr-1994,Ajusta ICA a la baja su obra proyectada para '94,reforma,8
147,19-Abr-1994,Defiende panista a Gutiérrez Barrios,reforma,4
148,20-Abr-1994,Empresa / Zedillo convenció a los banqueros,reforma,8
149,20-Abr-1994,Asegura Noyola estabilidad,reforma,4
150,21-Abr-1994,A Corto Plazo / Día escalofriante,reforma,2
151,21-Abr-1994,Puerta del Sol / Balada de la triste España,reforma,4
152,21-Abr-1994,Invertirá Grupo Cemex Dls. 400 millones en '94,reforma,9
153,22-Abr-1994,Seguirá economía incierta,reforma,4
154,22-Abr-1994,"Zedillo ve riesgos económicos, pero no planea grandes pasos",reforma,4
155,23-Abr-1994,'Alza en tasas es transitoria',reforma,2
156,23-Abr-1994,Plasman artistas su arte en CU,reforma,3
157,24-Abr-1994,Luis Rubio / ¿Quién va a liderear el cambio político?,reforma,4
158,24-Abr-1994,Entrevista / Diego Fernández de Cevallos / Ni lenguaraz ni irresponsable,reforma,4
159,25-Abr-1994,Everardo Elizondo / Los juicios y la realidad,reforma,6
160,25-Abr-1994,A Corto Plazo / Plan de re-confianza,reforma,4
161,25-Abr-1994,Estados Unidos necesita un respiro de la fiebre de pactos comerciales,reforma,9
162,26-Abr-1994,León Opalín / Industria maquiladora avance sostenido,reforma,5
163,26-Abr-1994,Crecerá 185% por ciento sector maquilador,reforma,9
164,26-Abr-1994,Desiste Sutherland dirigir OMC,reforma,6
165,26-Abr-1994,Secuestran a alto ejecutivo y retroceden los mercados,reforma,7
166,28-Abr-1994,Crecen las importaciones de autos,reforma,9
167,30-Abr-1994,Estudian apertura a bancos,reforma,5
168,01-May-1994,Llegan más tiendas norteamericanas,reforma,8
169,03-May-1994,Prevé James Jones elecciones limpias,reforma,4
170,05-May-1994,Persisten dudas sobre México,reforma,4
171,05-May-1994,Jorge Alcocer / El fantasma de Silva Herzog,reforma,4
172,05-May-1994,René Villarreal / La modernización y la desestabilización,reforma,4
173,08-May-1994,Deja ver completamente su postura,reforma,4
174,08-May-1994,¿Qué sigue?,reforma,5
175,10-May-1994,A Corto Plazo  / Las indecisiones del Banco Central,reforma,2
176,11-May-1994,Mauricio Gozález Gómez / El rumbo de las tasas de interés,reforma,2
177,11-May-1994,What's News,reforma,9
178,12-May-1994,Pulso Latinoamericano,reforma,1
179,16-May-1994,El conglomerado alemán,reforma,6
180,18-May-1994,Suben tasas-EU medio punto,reforma,7
181,18-May-1994,De nuevo la Reserva Federal incrementa tasas de interés,reforma,7
182,18-May-1994,Crecerá México 2% al cierre del año,reforma,1
183,20-May-1994,Avanza 0.5% el PIB,reforma,1
184,22-May-1994,Surge del caos y habita en el silencio,reforma,6
185,23-May-1994,La decisión de la FED podría no ser una cura completa para las acciones,reforma,7
186,24-May-1994,Estima JP Morgan un menor crecimiento económico,reforma,1
187,24-May-1994,A Corto Plazo  / El rumbo de la Bolsa,reforma,0
188,25-May-1994,Acumulan 90 mil unidades en bodega,reforma,9
189,25-May-1994,Posible Crack Inmobiliario,reforma,8
190,27-May-1994,Ernesto Rubio del Cueto / Los retos de México,reforma,5
191,30-May-1994,Será lento el regreso de capitales,reforma,1
192,31-May-1994,"A Corto Plazo / Banco Central, readecuaciones",reforma,5
193,02-Jun-1994,Ricardo Medina Macías / Asignatura pendiente: El análisis político,reforma,4
194,02-Jun-1994,Ricardo Medina Macías / Asignatura pendiente: El análisis político,reforma,4
195,03-Jun-1994,Se mantiene la confianza,reforma,5
196,03-Jun-1994,Es necesario invertir,reforma,6
197,03-Jun-1994,"A Corto Plazo  / Política monetaria, fe de erratas",reforma,5
198,06-Jun-1994,Esperan inversionistas de NY vientos propicios en el verano,reforma,7
199,07-Jun-1994,Enfrenta De León Carpio crisis política y económica,reforma,4
200,07-Jun-1994,Las políticas del Bundesbank provocan temores de otra alza en tasas europeas,reforma,7
201,08-Jun-1994,Comienza la OCDE sesión anual,reforma,1
202,09-Jun-1994,A Corto Plazo / Financiando la especulación,reforma,5
203,12-Jun-1994,Construyen Hotel Holiday Inn,reforma,8
204,13-Jun-1994,Jonathan Heath C. / Problemas de transición,reforma,1
205,13-Jun-1994,"Al Alza y a la Baja / Renace la inseguridad, ¿afectará a los mercados?",reforma,4
206,14-Jun-1994,Consumen menos vino de mesa,reforma,5
207,16-Jun-1994,Afecta a firmas intervención,reforma,7
208,17-Jun-1994,'Lo central era detener la violencia',reforma,4
209,22-Jun-1994,León Opalín / Economía y democracia en América Latina,reforma,4
210,22-Jun-1994,Coordenadas / Los miedos del sector privado mexicano,reforma,4
211,22-Jun-1994,Entrevista / Juan Sánchez Navarro / 'Urgen más inversiones',reforma,4
212,23-Jun-1994,"A Corto Plazo / Después del 21 de agosto, ¿qué?",reforma,2
213,23-Jun-1994,Afectará caída de dólar,reforma,2
214,23-Jun-1994,Recuperan terreno bolsas europeas,reforma,7
215,24-Jun-1994,A Corto Plazo / Desequilibrios Globalizadores,reforma,2
216,24-Jun-1994,Se estabiliza el dólar,reforma,7
217,27-Jun-1994,La caída del dólar es amenaza para el crecimiento económico,reforma,7
218,27-Jun-1994,Sigue crisis por caída del dólar,reforma,7
219,28-Jun-1994,Empresa / Qué hacer frente al vendaval,reforma,8
220,28-Jun-1994,Everardo Elizondo A. / Afecta recesión imagen de Banca,reforma,5
221,28-Jun-1994,"Nombres, Nombres y... Nombres / La industria mexicana enfrenta el peor escenario para su desarrollo; critican falta de apoyo de Secofi; los...",reforma,8
222,29-Jun-1994,Señales / Buenas noticias para México,reforma,2
223,30-Jun-1994,Se detiene flujo capital de EU.- Morgan,reforma,4
224,01-Jul-1994,Territorios en alerta,reforma,3
225,01-Jul-1994,Paga Industria costo del ajuste,reforma,5
226,02-Jul-1994,Fortalecen el clima de inversión privada,reforma,5
227,06-Jul-1994,Sube saldo de deuda por la caída del dólar,reforma,2
228,07-Jul-1994,Mantiene EU tasas de interés,reforma,7
229,08-Jul-1994,Entrevista / Germán González Quintero / Persiste temor entre empresarios,reforma,4
230,08-Jul-1994,Atacarán los países ricos baja del dólar,reforma,7
231,11-Jul-1994,What's News,reforma,7
232,13-Jul-1994,Debilitado gigante pide revisión de reformas,reforma,4
233,14-Jul-1994,Pulso Latinoamericano,reforma,1
234,15-Jul-1994,Prevén aumento desliz cambiario,reforma,1
235,15-Jul-1994,Reajustan plan de Caldera,reforma,5
236,16-Jul-1994,Consideran positivo acuerdo de partidos,reforma,4
237,19-Jul-1994,Asciende el CPP a 17.82,reforma,2
238,20-Jul-1994,"A un mes, la moneda está en el aire",reforma,4
239,20-Jul-1994,Se pagan errores del pasado,reforma,5
240,20-Jul-1994,"A un mes, la moneda está en el aire",reforma,4
241,21-Jul-1994,Greenspan pone las basespara nueva alza en tasas,reforma,7
242,22-Jul-1994,Sólo Zedillo asegura certidumbre,reforma,2
243,22-Jul-1994,Coordenadas  /  Tipo de cambio y política,reforma,4
244,24-Jul-1994,La economía: Seis meses de temores,reforma,4
245,24-Jul-1994,El costo de la incertidumbre,reforma,1
246,25-Jul-1994,Crece 8% producción de cemento,reforma,9
247,25-Jul-1994,Raymundo Riva Palacio / Momento de definición,reforma,4
248,27-Jul-1994,Julio Faesler / Banqueros y democracia,reforma,4
249,27-Jul-1994,Roberto R. Barrera / Cómo invertir en la bolsa,reforma,5
250,28-Jul-1994,Conviene ajustar norma arancelaria,reforma,5
251,28-Jul-1994,"Carlos Ortiz Gil / No me defiendas, compadre",reforma,4
252,28-Jul-1994,Agenda Ciudadana / Un fantasma recorre México: 1988,reforma,4
253,29-Jul-1994,Carlos Elizondo Mayer-Serra / El PRD y las mayorías,reforma,4
254,29-Jul-1994,Coordenadas / ¿Por qué hay especulación?,reforma,4
255,29-Jul-1994,Empeora perspectiva la deuda de Banamex,reforma,2
256,29-Jul-1994,Empeora perspectiva la deuda de Banamex,reforma,2
257,30-Jul-1994,Suben utilidades  de Banpaís,reforma,5
258,01-Ago-1994,Soledad Loaeza / ¿Dónde está el presidente?,reforma,4
259,02-Ago-1994,Ataca mercado hipotecario,reforma,5
260,02-Ago-1994,"Cavallo, Foxley y Aspe, un ascenso al poder por la escalera de la deuda",reforma,7
261,02-Ago-1994,Esperan en NY revaluación post-electoral,reforma,1
262,03-Ago-1994,Haría EZP gabinete sin malos elementos,reforma,4
263,03-Ago-1994,Breves,reforma,7
264,04-Ago-1994,Convoca la Iniciativa Privada a establecer un plan de reactivación,reforma,4
265,05-Ago-1994,Afectan comicios a la economía,reforma,2
266,09-Ago-1994,A Corto Plazo / Banca extranjera... suculento pastel,reforma,5
267,09-Ago-1994,Arrecia volatilidad en BMV,reforma,2
268,10-Ago-1994,Descartan un Plan de Contingencia,reforma,5
269,11-Ago-1994,Hay confianza inversora,reforma,8
270,11-Ago-1994,"Mijail Gorvachoy / El Norte nuclear, el Sur atómico",reforma,6
271,11-Ago-1994,Por qué votar el 21 de agosto,reforma,4
272,11-Ago-1994,Pulso Latinoamericano,reforma,1
273,15-Ago-1994,Coordenadas / Empleo y salarios van a contrapelo,reforma,1
274,16-Ago-1994,'Decisivo un triunfo de amplia mayoría',reforma,4
275,16-Ago-1994,Escenarios económicos cardenistas,reforma,1
276,16-Ago-1994,Sugerencias para un presidente asediado,reforma,4
277,17-Ago-1994,Coordenadas / El escenario económico del Cardenismo,reforma,4
278,17-Ago-1994,No 'salpica' a todos la recuperación,reforma,1
279,18-Ago-1994,A Corto Plazo / Escenografías pre-electorales,reforma,1
280,18-Ago-1994,Asombra al Banxico la caída de las tasas,reforma,1
281,18-Ago-1994,Caen 20% las ventas vitivinícolas,reforma,1
282,18-Ago-1994,Domina cautela en mercados,reforma,7
283,19-Ago-1994,"Serán elecciones tranquilas, dice CSG",reforma,4
284,20-Ago-1994,Clinton y cubanos: a la deriva,reforma,3
285,21-Ago-1994,La Cultura Política,reforma,4
286,22-Ago-1994,Comienzan mercados nueva fase,reforma,2
287,23-Ago-1994,Prevé presidente de la AMB crecimiento,reforma,4
288,24-Ago-1994,Empresa / ¿Y después de la euforia?,reforma,8
289,24-Ago-1994,Temprano para cantar victoria,reforma,2
290,24-Ago-1994,Utilizarían fondo de contingencia,reforma,5
291,24-Ago-1994,Entrevista  /  Jorge lepe García  /  Faltan 1.2 millones de casas,reforma,5
292,25-Ago-1994,Fustiga Canacintra a PRD,reforma,4
293,26-Ago-1994,Crecerá economía 4% en 1995,reforma,1
294,29-Ago-1994,Dan constancias a senadores,reforma,4
295,30-Ago-1994,Heredará Zedillo economía sana,reforma,1
296,30-Ago-1994,Alejandro Villagómez / El ahorro privado en México,reforma,5
297,01-Sep-1994,Impacta el TLC a la economía,reforma,9
298,05-Sep-1994,Será menor a 20% crecimiento sexenal,reforma,1
299,05-Sep-1994,Velando la informática  / Crecen PC's más que la economía,reforma,3
300,06-Sep-1994,Entrevista  / Javier Beristáin  / 'No buscamos superávit',reforma,5
301,08-Sep-1994,Pulso latinoamericano / Mientras que el equipo económico,reforma,1
302,08-Sep-1994,Termina la recesión económica de Japón,reforma,7
303,11-Sep-1994,Luis Rubio / Política económica indefinida,reforma,4
304,13-Sep-1994,Mejorará utilidad del Grupo Serfin,reforma,1
305,13-Sep-1994,A Corto Plazo / La crisis de la liquidez,reforma,2
306,14-Sep-1994,El Panel / Falta calidad al crecimiento,reforma,5
307,15-Sep-1994,Esperan corredurías que el fin de semana se ratifique el Pacto,reforma,1
308,16-Sep-1994,Jesús Marcos Yacamán  / Estabilidad monetaria y el Banxico,reforma,2
309,19-Sep-1994,Crecerá en 94 2.6% el PIB,reforma,1
310,20-Sep-1994,Empresa  / Otra vez el Pacto...,reforma,4
311,22-Sep-1994,Crecería demanda de crédito,reforma,5
312,25-Sep-1994,Una nueva amenaza para la historia,reforma,6
313,25-Sep-1994,Luis Rubio / Monopolios y política,reforma,5
314,27-Sep-1994,'Pacto garantiza certidumbre',reforma,5
315,27-Sep-1994,Pronostican beneficios para sector alimentos,reforma,1
316,27-Sep-1994,Breves,reforma,9
317,28-Sep-1994,La Fed prefirió esperar antes de subir las tasas de interés,reforma,7
318,29-Sep-1994,Desciende 1.9 por ciento la Bolsa de Valores,reforma,0
319,30-Sep-1994,Carlos Elizondo Mayer-Serra / ¿Por qué la violencia?,reforma,4
320,02-Oct-1994,Luis Rubio / La resistencia al cambio,reforma,4
321,02-Oct-1994,La cultura política,reforma,8
322,03-Oct-1994,Piden a Zedillo definir economía,reforma,1
323,03-Oct-1994,Prevén mantener flujos de capital,reforma,4
324,06-Oct-1994,Esperará aún México el 'grado de inversión',reforma,7
325,06-Oct-1994,Empresa / Serfin le prestó a De Prevoisin,reforma,8
326,06-Oct-1994,Superan las expectativas,reforma,9
327,07-Oct-1994,Coordenadas / Las dos caras del crecimiento,reforma,1
328,07-Oct-1994,Colocan bonos sobre deuda de AL,reforma,7
329,12-Oct-1994,Exige la IP que regrese orden social,reforma,4
330,12-Oct-1994,Bancomer espera tiempos mejores,reforma,7
331,15-Oct-1994,Incertidumbre Electoral en Alemania,reforma,4
332,16-Oct-1994,Luis Rubio  / ¿Fin o principio de una era?,reforma,4
333,16-Oct-1994,PRI: un punto de partida,reforma,4
334,17-Oct-1994,Advierten rezagos en sexenio de CSG,reforma,1
335,18-Oct-1994,La victoria de Kohl en Alemania pone el dólar a su nivel más bajo en dos años,reforma,7
336,19-Oct-1994,'Muestra México estabilidad a pesar de acontecimientos',reforma,5
337,19-Oct-1994,Retoma la banca comercial asignación de créditos de Nafin,reforma,5
338,20-Oct-1994,Podrían atrasar el otorgamiento grado inversión,reforma,7
339,23-Oct-1994,Ruidos en la transmisión del poder,reforma,4
340,24-Oct-1994,Pulso latinoamericano  / Las condiciones económicas empeoraron en Argentina,reforma,1
341,27-Oct-1994,Descarta Coparmex incertidumbre de IP,reforma,5
342,27-Oct-1994,Empresa / La apuesta de la incertidumbre,reforma,4
343,29-Oct-1994,Jaime Sánchez Susarrey / La crisis y el fin de sexenio,reforma,4
344,01-Nov-1994,"Nombres, Nombres y... Nombres / Sin sorpresas, con logros macros e innumerables rezagos y dificultades económicas como herencia, CSG rendirá hoy su último informe sexenal",reforma,5
345,01-Nov-1994,Templo Mayor,reforma,4
346,02-Nov-1994,Empresa / Salinas en el ojo del huracán,reforma,4
347,02-Nov-1994,Fernando Lerdo de Tejada / Sexto y último informe,reforma,4
348,03-Nov-1994,Breves,reforma,8
349,03-Nov-1994,El desplome del dólar afectará a la economía mexicana,reforma,2
350,03-Nov-1994,Se ha calmado clima financiero,reforma,1
351,05-Nov-1994,Promete Zedillo acabar impunidad,reforma,5
352,08-Nov-1994,Disparan deuda externa colocaciones privadas,reforma,5
353,13-Nov-1994,Gabriel Zaid / Chiapas sin resolverse ni aclararse,reforma,4
354,13-Nov-1994,Memorias Manuel Camacho Cambio sin ruptura,reforma,4
355,15-Nov-1994,Valentín Vargas Arenal / La Creación de empleos asignatura pendiente,reforma,5
356,16-Nov-1994,Repercutirá en México el alza de tasas en EU,reforma,2
357,17-Nov-1994,Agenda Ciudadana / La Presidencia: el cambio y el trauma,reforma,4
358,17-Nov-1994,Prevén crecimiento de 3.1%,reforma,1
359,18-Nov-1994,"Nombres, Nombres y... Nombres  / Reunión en Aerovías: nombran a Martens presidente; capitalización en función de adeudos pendientes; para 1995 se incorporarán los grupos privados",reforma,8
360,18-Nov-1994,Repunta el ahorro financiero 14.1%,reforma,1
361,21-Nov-1994,Temen crecer sin medida  / Balance Ciudadano,reforma,8
362,21-Nov-1994,Estrictamente Personal / Heridas abiertas,reforma,4
363,21-Nov-1994,Coordenadas / ¿Por qué el nuevo Pacto?,reforma,4
364,21-Nov-1994,El Panel / Subsiste la microempresa,reforma,5
365,22-Nov-1994,Jaque Mate  / La corbata y el saco,reforma,4
366,22-Nov-1994,A Corto Plazo  / El efecto de las 'buenas' noticias,reforma,4
367,22-Nov-1994,Breves,reforma,5
368,24-Nov-1994,Ejecutivos de Exxon y Pennzoil compran acciones de sus empresas,reforma,0
369,24-Nov-1994,"Nombres, Nombres y... Nombres  / Santander comenzará a operar esta semana en México; Botín y sus hijos llegan hoy para protocolizar su arranque bajo el lema: ''el que pega primero, pega dos veces''",reforma,8
370,25-Nov-1994,Crecerá inversión alemana hasta un 20% en 1995,reforma,9
371,27-Nov-1994,Alberto Volonte / Hacia un mercado común,reforma,6
372,27-Nov-1994,Los retos de Zedillo,reforma,4
373,28-Nov-1994,Impactaría una 'mala' apertura en teléfonos,reforma,5
374,29-Nov-1994,"Ayer, los optimistas triunfaron en Wall Street",reforma,0
375,02-Dic-1994,'Queremos una Patria en Paz',reforma,4
376,04-Dic-1994,Gabinete para la incertidumbre,reforma,4
377,05-Dic-1994,Estrictamente personal  / ¿Presidente de transición?,reforma,4
378,06-Dic-1994,"En Washington, todos los ojos miran hacia Rubin",reforma,4
379,08-Dic-1994,Suben tasas en Inglaterra,reforma,7
380,09-Dic-1994,"Nombres, Nombres y... Nombres  / Además de Smeke otras 33 empresas afectadas por el lío con Calvin Klein; Express, Sergio Valente, Yves Saint Lauren luchan también por entrar directo a México",reforma,8
